Site,File,Deployment,Type,DateTime,Guild,Species,Count,Position,Tide,Foraging,Handling,sunrise,sunset,sintime,costime
BRAD,20220526_BRAD_R_12456.JPG,20220526_BRAD_R,Reference,2022-05-22T05:10:01Z,Mesomammal,Raccoon,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,0.9741246960770661,0.22601123089962502
BRAD,20220526_BRAD_R_12649.JPG,20220526_BRAD_R,Reference,2022-05-22T08:23:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,0.8517380010818397,-0.5239679164921378
BRAD,20220526_BRAD_R_12650.JPG,20220526_BRAD_R,Reference,2022-05-22T08:24:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,0.8498169155670348,-0.5270779923466083
BRAD,20220526_BRAD_R_12651.JPG,20220526_BRAD_R,Reference,2022-05-22T08:25:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Low,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,0.8478844738286435,-0.530181024783351
BRAD,20220526_BRAD_R_13244.JPG,20220526_BRAD_R,Reference,2022-05-22T18:15:02Z,Wading Bird,Yellow-crowned Night Heron,1,Vegetation,Mid,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,-0.9106531201306299,-0.41317174975589577
BRAD,20220526_BRAD_R_13245.JPG,20220526_BRAD_R,Reference,2022-05-22T18:16:01Z,Wading Bird,Yellow-crowned Night Heron,1,Vegetation,Mid,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,-0.9121324367630499,-0.40989561818187426
BRAD,20220526_BRAD_R_13246.JPG,20220526_BRAD_R,Reference,2022-05-22T18:17:01Z,Wading Bird,Yellow-crowned Night Heron,1,Vegetation,Mid,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,-0.9136247390681136,-0.4065585273521162
BRAD,20220526_BRAD_R_13247.JPG,20220526_BRAD_R,Reference,2022-05-22T18:18:01Z,Wading Bird,Yellow-crowned Night Heron,1,Vegetation,Mid,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,-0.9151048324766247,-0.4032160036232796
BRAD,20220526_BRAD_R_13248.JPG,20220526_BRAD_R,Reference,2022-05-22T18:19:02Z,Wading Bird,Yellow-crowned Night Heron,1,Vegetation,Mid,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,-0.9165970579061103,-0.39981224773368634
BRAD,20220526_BRAD_R_13249.JPG,20220526_BRAD_R,Reference,2022-05-22T18:20:01Z,Wading Bird,Yellow-crowned Night Heron,1,VegetationEdge,Mid,FALSE,FALSE,2022-05-22T05:52:09Z,2022-05-22T20:11:33Z,-0.918028313652613,-0.39651483620684314
